Company,Flight number,Dead,Survivors
Iberia Airlines,602,104,0
Turkish Airlines,Unknown,1,4
JAT,367,27,1
Lufthansa,649,0,182
Mohawk Airlines,405,16,32
Sterling Airways,296,112,0
EgyptAir,763,30,0
East African Airways,720,43,67
Aeroflot,B-608,18,0
Alitalia,112,115,0
Eastern Air Lines,175,0,Unknown
Sabena,571,0,Unknown
Aeroflot,1491,122,0
Delta Air Lines,9570,4,0
American Airlines,96,0,67
Japan Airlines,471,82,5
Cathay Pacific,700Z,81,0
British European Airways,548,118,0
Prinair,191,5,15
North Central,671,13,0
Pan Am,841,0,Unknown
Pacific Southwest Airlines,710,3,81
Avianca,630,38,0
Delta Air Lines,841,0,101
Burma Airways,Unknown,25,3
Aeroflot,558,102,0
Japan Airlines,472,0,122
Aeroflot,1036,109,0
Aeroflot,217,174,0
Uruguayan Air Force,571,29,16
Olympic Airways,506,37,16
Air Inter,696Y,60,8
Lufthansa,615,0,Unknown
Aero Trasporti Italiani,327,27,0
Southern Airways,49,0,38
Ansett Airlines,232,0,Unknown
Japan Air Lines,446,62,14
Spantax,275,155,0
United Airlines,553,43,17
Pakistan International Airlines,631,31,0
Ethiopian Airlines,708,0,Unknown
Delta,575,10,Unknown
Braathens SAFE,239,40,5
Eastern Air Lines,401,101,75
American Express Leasing,Unknown,5,0
Aeroflot,3843,90,0
Japan Air Lines Cargo,1045,5,0
Linjeflyg,618,22,0
Aeroflot,5003,77,21
British Airtours,Unknown,0,4
KLM / Pan Am,4805 / 1736,583,61
Southern Airways,242,63,22
Delta Air Lines,1080,0,Unknown
Aeroflot,Unknown,29,0
Dan-Air,Unknown,6,0
Aeroflot,331,67,2
Aeroflot,B-2,39,1
Malév,203,29,24
Japan Airlines,715,34,45
Japan Airlines,472,0,151
Lufthansa,181,1,Unknown
Charter (Lynyrd Skynyrd),Unknown,6,18
Vietnam Civil Aviation,509,2,34
TAP Portugal,425,131,33
Austral Líneas Aéreas,9,46,33
Libyan Arab Airlines,Unknown,59,106
Malaysian Airline System,653,100,0
Air Indiana,216,29,0
United Airlines,2860,3,0
SA de Transport Aérien,730,36,21
Vieques Air Link,Unknown,5,5
Varig,967,6,0
Vietnam Civil Aviation,226,0,36
Air Rhodesia,827,59,0
Air New Zealand,4374,2,Unknown
Alia Royal Jordanian Airlines,600,44,20
Aeroflot,1691,58,61
Interflug,Unknown,10,0
Quebecair,255,17,7
TWA,841,0,89
SAETA,011,57,0
American Airlines,191,271,0
Downeast,46,17,1
Air New England,248,1,Unknown
American Airlines,293,0,Unknown
Garuda Indonesian Airways,Unknown,61,0
Lufthansa Cargo,527,3,0
Dan-Air,0034,17,27
Aeroflot,Unknown,178,0
Aeroflot,5484,63,0
Aero Trasporti Italiani,12,31,0
Swissair,316,14,140
Western Airlines,2605,72,16
Transportes Aéreos Españoles,297,0,109
American Airlines,444,0,78
Pakistan International Airlines,740,156,0
Air New Zealand,901,257,0
Turkish Airlines,Unknown,41,4
Eastern Air Lines,980,29,0
CAAC,5109,38,3
Galaxy Airlines,203,70,1
Aeroflot,7841,58,22
China Airlines,006,0,274
Iberia,610,148,0
Air Mali,Unknown,51,1
Aeroflot,8381,94,0
Trans World Airlines,847,1,Unknown
Braathens SAFE,139,0,Unknown
Air India,182,329,0
Aeroflot,7425,200,0
Delta Air Lines,191,136,27
Japan Air Lines,123,520,4
British Airtours,28M,55,82
Bar Harbor Airlines,1808,8,0
Bakhtar Afghan Airlines,Unknown,52,0
Midwest Express Airlines,105,31,0
Henson Airlines,1517,14,0
EgyptAir,648,58,29
Aeroflot,Unknown,23,0
Arrow Air,1285,256,0
Aeroflot,101/435,0,51
Aerovías Guatemala,Unknown,93,0
VASP,210,1,Unknown
China Airlines,2265,13,0
Aeroflot,F-77,38,0
Mexicana de Aviación,940,167,0
Trans World Airlines,840,4,117
Air Lanka,512,21,127
China Airlines,334,0,3
Grand Canyon Airlines,6,25,0
Aeroflot,2306,54,38
LIAT,319,13,0
Sudan Airways,Unknown,60,0
Aeroméxico,498,67,0
Pan Am,73,20,Unknown
Aeroflot,36075,3,80
Corporate Air Services,Unknown,3,1
Aeroflot,6502,70,24
Thai Airways International,620,0,247
British International Helicopters,Unknown,45,2
Japan Air Lines Cargo,1628,0,Unknown
Aeroflot,892,74,8
Iraqi Airways,163,63,43
Condor Flugdienst,3782,16,0
China Southwest Airlines,4146,108,0
Aeroflot,699,11,135
Trans-Colorado Airlines,2286,9,8
Aeroflot,29674,27,4
American Airlines,132,0,126
Nürnberger Flugdienst,108,21,0
AVAir,3378,12,0
Comair,206,17,0
TAT,230,23,0
Aeroflot,3739,9,75
Avianca,410,143,0
Kuwait Airways,422,2,110
Horizon Air,2658,0,40
Aloha Airlines,243,1,94
Widerøe,710,36,0
Austral Líneas Aéreas,46,22,0
Air France,296,3,127
Iran Air,655,290,0
CAAC,301,7,82
Delta Air Lines,1141,14,92
Vietnam Airlines,831,76,14
Ethiopian Airlines,604,35,69
Shanxi Airlines,4218,44,2
Uganda Airlines,775,33,19
Indian Airlines,113,133,2
Pan Am,103,259,0
British Midland Airways,092,47,79
Independent Air,1851,144,0
United Airlines,811,9,346
Air Ontario,1363,24,45
Evergreen International Airlines,17,2,0
Transbrasil,801,25,0
Uni-Air International,602,22,0
Surinam Airways,764,176,11
Interflug,102,21,92
United Airlines,232,112,184
Korean Air,803,75,124
Olympic Aviation,545,34,0
China Eastern Airlines,5510,34,0
Pakistan International Airlines,404,0,54
Cubana de Aviación,9046,126,0
Varig,254,12,42
Partnair,394,55,0
UTA,772,170,0
TAN-SAHSA,414,131,15
China Airlines,204,54,0
Aloha Island Air,1712,20,0
Aeroflot,37577,32,8
Korean Air,175,0,48
Avianca,203,107,0
United Express,2415,6,0
USAir,1493,23,66
SkyWest Airlines,5569,12,0
Ryan International Airlines,590,2,0
LAN Chile,1069,20,52
United Airlines,585,25,0
Aeropostal Alas de Venezuela,108,45,0
Aeroflot,Unknown,34,29
Singapore Airlines,117,0,Unknown
Atlantic Southeast Airlines,2311,23,0
Air Tahiti,805,10,12
Aeroflot,8556,13,Unknown
Lauda Air,004,223,0
LExpress Airlines,508,13,0
Nigeria Airways,2120,261,0
Indian Airlines,257,69,0
Continental Express,2574,14,0
Yugavia,S-519,51,0
Scandinavian Airlines System,751,0,Unknown
China Airlines,358,5,0
CommutAir,4281,2,2
Air Inter,148,87,9
Aerolíneas Argentinas,386,1,Unknown
Air Transport International,805,4,0
USAir,405,27,24
Trans-Air Service,671,0,5
Copa Airlines,201,47,0
American Eagle,5456,5,0
GP Express,861,3,3
Transair Georgia,Unknown,24,0
Mandala Airlines,660,70,0
TWA,843,0,292
Thai Airways International,311,113,0
China General Aviation,7552,108,18
Aeroflot,2808,84,0
Vietnam Airlines,850,0,Unknown
Pakistan International Airlines,268,167,0
El Al,1862,43,0
Merpati Nusantara Airlines,5601,31,0
Vietnam Airlines,474,30,1
China Southern Airlines,3943,141,0
Martinair,495,54,238
Libyan Arab Airlines,1103,157,2
Baikal Airlines,130,125,0
United Express,6291,5,3
Pulkovo Aviation Enterprise,9045,13,0
Expresso Aéreo,028,31,0
Sahara Airlines/ Aeroflot,737/Il-86,9,0
Aeroflot,593,75,0
KLM Cityhopper,433,3,6
Federal Express,705,0,3
South Pacific Airmotive,DC-3,0,25
China Airlines,140,264,7
China Northwest Airlines,2303,160,0
Airbus Industrie,129,7,0
Air Mauritanie,625,80,13
USAir,1016,37,20
Alas Chiricanas,901,21,0
Korean Air,2033,0,152
Royal Air Maroc,630,44,0
USAir,427,132,0
Oriental Airlines,Unknown,5,34
Cheremshanka Airlines,Vanavara,28,0
Iran Aseman Airlines,746,66,0
American Eagle,4184,68,0
Scandinavian Airlines System,347,0,Unknown
TWA,427,0,Unknown
Philippine Airlines,434,1,Unknown
Flagship Airlines,3379,15,3
Nigeria Airways,9805,3,1
Air Algérie,702P,5,0
Air France,8969,0,Unknown
Turkish Airlines,278,57,12
LAC Colombia,028,22,0
Birgenair,301,189,0
Faucett,251,123,0
Formosa Airlines,7613,6,11
ValuJet,592,110,0
Eastwind Airlines,517,0,142
Garuda Indonesia,865,3,272
Delta Air Lines,1288,2,140
TWA,800,230,0
Spair Airlines,3601,11,0
Vnukovo Airlines,2801,141,0
Hemus Air,7081,0,150
FedEx Express,1406,0,5
Dutch Dakota Association,DC-3,32,0
Aeroperú,603,70,0
Delta Air Lines,554,0,63
Millon Air,406,34,0
TAM Transportes Aéreos Regionais,402,99,0
ADC Airlines,086,144,0
